"Fecha","ID","Producto","Tipo","Ventas","Unidades"
2025-08-13,95,"Tomaseca","Bebida",309118,3
2025-08-13,96,"Artesanias en cana","Artesanias",65608,5
2025-08-13,97,"Marranita","Comida",38353,2
2025-08-13,98,"Marranita","Comida",45795,1
2025-08-13,99,"Marranita","Comida",43465,1
2025-08-13,100,"Limonada de Cana","Bebida",22796,2
2025-08-13,101,"Sombrero de Palma","Artesanias",327708,4
2025-08-13,102,"Artesanias en cana","Artesanias",51642,5
2025-08-13,103,"Empanada de Piangua","Comida",18152,1
2025-08-13,104,"Tomaseca","Bebida",203708,2
2025-08-13,105,"Empanada de Piangua","Comida",22378,4
2025-08-13,106,"Tomaseca","Bebida",193064,1
2025-08-13,107,"Curao","Bebida",290622,3
2025-08-13,108,"Tomaseca","Bebida",247638,2
2025-08-13,109,"Viche","Bebida",233742,2
2025-08-13,110,"Encocado de Camarones","Comida",25141,2
2025-08-13,111,"Limonada de Cana","Bebida",19770,4
2025-08-13,112,"Limonada de Cana","Bebida",22467,1
2025-08-13,113,"Encocado de Camarones","Comida",26364,2
2025-08-13,114,"Viche","Bebida",216829,2
2025-08-13,115,"Encocado de Camarones","Comida",30351,2
2025-08-13,116,"Marranita","Comida",36281,1
2025-08-13,117,"Sombrero de Palma","Artesanias",371791,3
2025-08-13,118,"Tomaseca","Bebida",189992,2
2025-08-13,119,"Empanada de Piangua","Comida",16542,2
2025-08-13,120,"Viche","Bebida",195488,4
2025-08-13,121,"Viche","Bebida",146449,5
2025-08-13,122,"Sombrero de Palma","Artesanias",319496,2
2025-08-13,123,"Sombrero de Palma","Artesanias",316572,3
2025-08-13,124,"Empanada de Piangua","Comida",18398,2
2025-08-13,125,"Tomaseca","Bebida",240161,3
2025-08-13,126,"Viche","Bebida",200381,1
2025-08-13,127,"Artesanias en cana","Artesanias",62688,4
2025-08-13,128,"Marimba de Chonta","Artesanias",440135,4
2025-08-13,129,"Marranita","Comida",35616,1
2025-08-13,130,"Limonada de Cana","Bebida",23073,1
2025-08-13,131,"Empanada de Piangua","Comida",18004,4
2025-08-13,132,"Encocado de Camarones","Comida",26532,5
2025-08-13,133,"Curao","Bebida",263590,2
2025-08-13,134,"Marimba de Chonta","Artesanias",355625,3
2025-08-13,135,"Marranita","Comida",44935,4
2025-08-13,136,"Tomaseca","Bebida",169088,3
2025-08-13,137,"Marranita","Comida",41855,4
2025-08-13,138,"Tomaseca","Bebida",260435,4
2025-08-13,139,"Marranita","Comida",46076,3
2025-08-13,140,"Encocado de Camarones","Comida",29765,4
2025-08-13,141,"Marimba de Chonta","Artesanias",451088,3
2025-08-13,142,"Limonada de Cana","Bebida",21197,1
2025-08-13,143,"Limonada de Cana","Bebida",21158,4
2025-08-13,144,"Aborrajado","Comida",39009,1
2025-08-13,145,"Encocado de Camarones","Comida",32896,4
2025-08-13,146,"Empanada de Piangua","Comida",20845,3
2025-08-13,147,"Encocado de Camarones","Comida",20923,2
2025-08-13,148,"Empanada de Piangua","Comida",18273,4
2025-08-13,149,"Sombrero de Palma","Artesanias",366366,1
2025-08-13,150,"Artesanias en cana","Artesanias",66531,3
2025-08-13,151,"Marimba de Chonta","Artesanias",411160,5
2025-08-13,152,"Curao","Bebida",389513,4
2025-08-13,153,"Aborrajado","Comida",41945,2
2025-08-13,154,"Encocado de Camarones","Comida",20200,3
2025-08-13,155,"Empanada de Piangua","Comida",22284,3
2025-08-13,156,"Marranita","Comida",45087,3
2025-08-13,157,"Marimba de Chonta","Artesanias",328971,1
2025-08-13,158,"Marranita","Comida",43997,4
2025-08-13,159,"Aborrajado","Comida",41425,4
2025-08-13,160,"Viche","Bebida",238812,4
2025-08-13,161,"Limonada de Cana","Bebida",22487,5
2025-08-13,162,"Artesanias en cana","Artesanias",52795,4
2025-08-13,163,"Curao","Bebida",373116,3
2025-08-13,164,"Marimba de Chonta","Artesanias",424125,3
2025-08-13,165,"Viche","Bebida",264809,5
2025-08-13,166,"Aborrajado","Comida",36535,4
2025-08-13,167,"Empanada de Piangua","Comida",16311,3
2025-08-13,168,"Curao","Bebida",310213,4
2025-08-13,169,"Aborrajado","Comida",38771,2
2025-08-13,170,"Marranita","Comida",43559,3
2025-08-13,171,"Aborrajado","Comida",42625,3
2025-08-13,172,"Curao","Bebida",245043,3
2025-08-13,173,"Viche","Bebida",155974,2
2025-08-13,174,"Curao","Bebida",227688,2
2025-08-13,175,"Limonada de Cana","Bebida",22847,1
2025-08-13,176,"Marranita","Comida",39103,5
2025-08-13,177,"Tomaseca","Bebida",215207,3
2025-08-13,178,"Aborrajado","Comida",40334,1
2025-08-13,179,"Sombrero de Palma","Artesanias",313234,2
2025-08-13,180,"Empanada de Piangua","Comida",16479,4
2025-08-13,181,"Marranita","Comida",45115,1
2025-08-13,182,"Marimba de Chonta","Artesanias",377885,1
2025-08-13,183,"Panuelos","Artesanias",73746,2
2025-08-13,184,"Limonada de Cana","Bebida",23409,3
2025-08-13,185,"Limonada de Cana","Bebida",21877,3
2025-08-13,186,"Marranita","Comida",44505,5
2025-08-13,187,"Marimba de Chonta","Artesanias",356129,2
2025-08-13,188,"Viche","Bebida",146605,5
2025-08-13,189,"Aborrajado","Comida",39044,5
2025-08-13,190,"Aborrajado","Comida",36769,1
2025-08-13,191,"Aborrajado","Comida",39631,4
2025-08-13,192,"Marimba de Chonta","Artesanias",414861,1
2025-08-13,193,"Encocado de Camarones","Comida",32169,1
2025-08-13,194,"Limonada de Cana","Bebida",20841,3
2025-08-13,195,"Encocado de Camarones","Comida",32185,1
2025-08-13,196,"Panuelos","Artesanias",20451,5
2025-08-13,197,"Limonada de Cana","Bebida",19618,4
2025-08-13,198,"Marranita","Comida",41542,5
2025-08-13,199,"Sombrero de Palma","Artesanias",375329,3
2025-08-13,200,"Limonada de Cana","Bebida",20955,1
2025-08-13,201,"Sombrero de Palma","Artesanias",316373,1
2025-08-13,202,"Tomaseca","Bebida",273424,3
2025-08-13,203,"Marranita","Comida",43328,2
2025-08-13,204,"Tomaseca","Bebida",202473,4
2025-08-13,205,"Marimba de Chonta","Artesanias",420381,5
2025-08-13,206,"Tomaseca","Bebida",168209,5
2025-08-13,207,"Empanada de Piangua","Comida",15666,4
2025-08-13,208,"Aborrajado","Comida",40815,1
2025-08-13,209,"Limonada de Cana","Bebida",22295,3
2025-08-13,210,"Empanada de Piangua","Comida",23159,1
2025-08-13,211,"Sombrero de Palma","Artesanias",322076,4
2025-08-13,212,"Artesanias en cana","Artesanias",20083,2
2025-08-13,213,"Artesanias en cana","Artesanias",38669,4
2025-08-13,214,"Tomaseca","Bebida",235220,1
2025-08-13,215,"Marranita","Comida",36590,5
2025-08-13,216,"Marranita","Comida",40154,1
2025-08-13,217,"Encocado de Camarones","Comida",29206,5
2025-08-13,218,"Empanada de Piangua","Comida",16530,4
2025-08-13,219,"Curao","Bebida",228614,2
2025-08-13,220,"Limonada de Cana","Bebida",22909,1
2025-08-13,221,"Encocado de Camarones","Comida",33943,5
2025-08-13,222,"Artesanias en cana","Artesanias",63243,1
2025-08-13,223,"Encocado de Camarones","Comida",23601,4
2025-08-13,224,"Sombrero de Palma","Artesanias",355421,5
2025-08-13,225,"Panuelos","Artesanias",20720,3
2025-08-13,226,"Marranita","Comida",44536,5
2025-08-13,227,"Empanada de Piangua","Comida",20861,4
2025-08-13,228,"Tomaseca","Bebida",284630,2
2025-08-13,229,"Marranita","Comida",41937,1
2025-08-13,230,"Artesanias en cana","Artesanias",42054,3
2025-08-13,231,"Sombrero de Palma","Artesanias",341135,2
2025-08-13,232,"Artesanias en cana","Artesanias",39947,3
2025-08-13,233,"Curao","Bebida",368762,4
2025-08-13,234,"Marimba de Chonta","Artesanias",337512,1
2025-08-13,235,"Limonada de Cana","Bebida",21459,1
2025-08-13,236,"Empanada de Piangua","Comida",16362,5
2025-08-13,237,"Marimba de Chonta","Artesanias",366143,3
2025-08-13,238,"Curao","Bebida",268171,3
2025-08-13,239,"Tomaseca","Bebida",222939,1
2025-08-13,240,"Aborrajado","Comida",42277,5
2025-08-13,241,"Panuelos","Artesanias",64221,1
2025-08-13,242,"Curao","Bebida",248087,1
2025-08-13,243,"Artesanias en cana","Artesanias",75134,3
2025-08-13,244,"Limonada de Cana","Bebida",21181,2
2025-08-13,245,"Sombrero de Palma","Artesanias",361722,1
2025-08-13,246,"Artesanias en cana","Artesanias",28530,2
2025-08-13,247,"Aborrajado","Comida",35859,2
2025-08-13,248,"Panuelos","Artesanias",43008,3
2025-08-13,249,"Tomaseca","Bebida",256745,2
2025-08-13,250,"Encocado de Camarones","Comida",21244,5
2025-08-13,251,"Encocado de Camarones","Comida",22049,3
2025-08-13,252,"Aborrajado","Comida",38915,1
2025-08-13,253,"Marranita","Comida",40596,3
2025-08-13,254,"Marimba de Chonta","Artesanias",433663,4
2025-08-13,255,"Sombrero de Palma","Artesanias",348753,1
2025-08-13,256,"Encocado de Camarones","Comida",25716,2
2025-08-13,257,"Artesanias en cana","Artesanias",35304,1
2025-08-13,258,"Curao","Bebida",301606,4
2025-08-13,259,"Artesanias en cana","Artesanias",55997,2
2025-08-13,260,"Empanada de Piangua","Comida",20009,1
2025-08-13,261,"Tomaseca","Bebida",268855,2
2025-08-13,262,"Curao","Bebida",210263,4
2025-08-13,263,"Sombrero de Palma","Artesanias",380515,5
2025-08-13,264,"Encocado de Camarones","Comida",32470,4
2025-08-13,265,"Marranita","Comida",41691,5
2025-08-13,266,"Curao","Bebida",243014,4
2025-08-13,267,"Artesanias en cana","Artesanias",41233,2
2025-08-13,268,"Marimba de Chonta","Artesanias",333943,3
2025-08-13,269,"Aborrajado","Comida",41816,5
2025-08-13,270,"Viche","Bebida",222845,4
2025-08-13,271,"Artesanias en cana","Artesanias",44161,5
2025-08-13,272,"Empanada de Piangua","Comida",18867,4
2025-08-13,273,"Artesanias en cana","Artesanias",26321,3
2025-08-13,274,"Marimba de Chonta","Artesanias",438756,2
2025-08-13,275,"Marranita","Comida",36695,2
2025-08-13,276,"Curao","Bebida",317499,1
2025-08-13,277,"Viche","Bebida",238621,1
2025-08-13,278,"Panuelos","Artesanias",75286,1
2025-08-13,279,"Curao","Bebida",356934,4
2025-08-13,280,"Encocado de Camarones","Comida",24219,3
2025-08-13,281,"Sombrero de Palma","Artesanias",386007,3
2025-08-13,282,"Sombrero de Palma","Artesanias",368875,3
2025-08-13,283,"Sombrero de Palma","Artesanias",385487,1
2025-08-13,284,"Empanada de Piangua","Comida",17886,5
2025-08-13,285,"Panuelos","Artesanias",68313,1
2025-08-13,286,"Marimba de Chonta","Artesanias",346654,4
2025-08-13,287,"Encocado de Camarones","Comida",21717,1
2025-08-13,288,"Marimba de Chonta","Artesanias",322987,3
2025-08-13,289,"Tomaseca","Bebida",215113,1
2025-08-13,290,"Limonada de Cana","Bebida",20009,5
2025-08-13,291,"Marranita","Comida",36930,2
2025-08-13,292,"Encocado de Camarones","Comida",25825,4
2025-08-13,293,"Encocado de Camarones","Comida",28112,2
2025-08-13,294,"Viche","Bebida",223662,3
2025-08-13,295,"Empanada de Piangua","Comida",20943,1
2025-08-13,296,"Limonada de Cana","Bebida",22624,3
2025-08-13,297,"Tomaseca","Bebida",175713,2
2025-08-13,298,"Limonada de Cana","Bebida",19645,1
2025-08-13,299,"Sombrero de Palma","Artesanias",388415,5
2025-08-13,300,"Sombrero de Palma","Artesanias",350934,5
2025-08-13,301,"Panuelos","Artesanias",77514,4
2025-08-13,302,"Tomaseca","Bebida",312523,4
2025-08-13,303,"Empanada de Piangua","Comida",16253,5
2025-08-13,304,"Marranita","Comida",44587,4
2025-08-13,305,"Encocado de Camarones","Comida",24949,3
2025-08-13,306,"Marranita","Comida",40967,3
2025-08-13,307,"Sombrero de Palma","Artesanias",313062,1
2025-08-13,308,"Aborrajado","Comida",37129,2
2025-08-13,309,"Aborrajado","Comida",40682,4
2025-08-13,310,"Panuelos","Artesanias",24144,2
2025-08-13,311,"Limonada de Cana","Bebida",22675,3
2025-08-13,312,"Panuelos","Artesanias",30727,3
2025-08-13,313,"Curao","Bebida",295250,4
2025-08-13,314,"Viche","Bebida",148102,5
2025-08-13,315,"Marranita","Comida",41952,5
2025-08-13,316,"Curao","Bebida",224053,5
2025-08-13,317,"Panuelos","Artesanias",56000,5
2025-08-13,318,"Viche","Bebida",269890,1
2025-08-13,319,"Panuelos","Artesanias",46147,2
2025-08-13,320,"Sombrero de Palma","Artesanias",356051,5
2025-08-13,321,"Marimba de Chonta","Artesanias",430915,2
2025-08-13,322,"Curao","Bebida",339192,4
2025-08-13,323,"Empanada de Piangua","Comida",22014,2
2025-08-13,324,"Artesanias en cana","Artesanias",69271,1
2025-08-13,325,"Marranita","Comida",44216,4
2025-08-13,326,"Tomaseca","Bebida",245320,3
2025-08-13,327,"Tomaseca","Bebida",241196,2
2025-08-13,328,"Sombrero de Palma","Artesanias",318437,2
2025-08-13,329,"Tomaseca","Bebida",171926,4
2025-08-13,330,"Viche","Bebida",252571,4
2025-08-13,331,"Tomaseca","Bebida",173173,2
2025-08-13,332,"Marranita","Comida",45924,4
2025-08-13,333,"Curao","Bebida",270559,2
2025-08-13,334,"Limonada de Cana","Bebida",19591,1
2025-08-13,335,"Tomaseca","Bebida",247255,3
2025-08-13,336,"Tomaseca","Bebida",182987,3
2025-08-13,337,"Aborrajado","Comida",37539,5
2025-08-13,338,"Curao","Bebida",323374,1
2025-08-13,339,"Empanada de Piangua","Comida",20716,3
2025-08-13,340,"Tomaseca","Bebida",160231,1
2025-08-13,341,"Artesanias en cana","Artesanias",48203,2
2025-08-13,342,"Empanada de Piangua","Comida",19047,2
2025-08-13,343,"Encocado de Camarones","Comida",21869,5
2025-08-13,344,"Curao","Bebida",315349,1
2025-08-13,345,"Tomaseca","Bebida",214820,3
2025-08-13,346,"Empanada de Piangua","Comida",19258,2
2025-08-13,347,"Limonada de Cana","Bebida",20462,5
2025-08-13,348,"Encocado de Camarones","Comida",26755,1
2025-08-13,349,"Tomaseca","Bebida",193436,5
2025-08-13,350,"Limonada de Cana","Bebida",20497,1
2025-08-13,351,"Empanada de Piangua","Comida",16307,1
2025-08-13,352,"Panuelos","Artesanias",55535,4
2025-08-13,353,"Aborrajado","Comida",37809,5
2025-08-13,354,"Limonada de Cana","Bebida",19931,5
2025-08-13,355,"Marranita","Comida",45377,5
2025-08-13,356,"Encocado de Camarones","Comida",32059,1
2025-08-13,357,"Marranita","Comida",42879,5
2025-08-13,358,"Viche","Bebida",239942,5
2025-08-13,359,"Sombrero de Palma","Artesanias",370224,3
2025-08-13,360,"Sombrero de Palma","Artesanias",375094,1
2025-08-13,361,"Viche","Bebida",251453,5
2025-08-13,362,"Marranita","Comida",37407,1
2025-08-13,363,"Sombrero de Palma","Artesanias",350039,5
2025-08-13,364,"Marimba de Chonta","Artesanias",427311,4
2025-08-13,365,"Empanada de Piangua","Comida",21307,3
2025-08-13,366,"Viche","Bebida",252536,4
2025-08-13,367,"Limonada de Cana","Bebida",22823,1
2025-08-13,368,"Panuelos","Artesanias",53675,3
2025-08-13,369,"Marranita","Comida",35315,5
2025-08-13,370,"Viche","Bebida",272412,5
2025-08-13,371,"Tomaseca","Bebida",224760,3
2025-08-13,372,"Curao","Bebida",240508,4
2025-08-13,373,"Tomaseca","Bebida",222982,4
2025-08-13,374,"Sombrero de Palma","Artesanias",387481,5
2025-08-13,375,"Encocado de Camarones","Comida",26114,5
2025-08-13,376,"Tomaseca","Bebida",215833,2
2025-08-13,377,"Viche","Bebida",138655,1
2025-08-13,378,"Encocado de Camarones","Comida",30977,2
2025-08-13,379,"Marimba de Chonta","Artesanias",378119,3
2025-08-13,380,"Empanada de Piangua","Comida",22151,5
2025-08-13,381,"Sombrero de Palma","Artesanias",344829,1
2025-08-13,382,"Curao","Bebida",204751,5
2025-08-13,383,"Marimba de Chonta","Artesanias",418442,1
2025-08-13,384,"Empanada de Piangua","Comida",16327,4
2025-08-13,385,"Marimba de Chonta","Artesanias",419419,5
2025-08-13,386,"Sombrero de Palma","Artesanias",374613,2
2025-08-13,387,"Marranita","Comida",37137,2
2025-08-13,388,"Marimba de Chonta","Artesanias",327353,5
2025-08-13,389,"Tomaseca","Bebida",212424,2
2025-08-13,390,"Tomaseca","Bebida",234215,3
2025-08-13,391,"Artesanias en cana","Artesanias",30125,1
2025-08-13,392,"Empanada de Piangua","Comida",20564,2
2025-08-13,393,"Panuelos","Artesanias",39986,1
2025-08-13,394,"Aborrajado","Comida",37743,1
2025-08-13,395,"Aborrajado","Comida",36574,2
2025-08-13,396,"Sombrero de Palma","Artesanias",362668,5
2025-08-13,397,"Marimba de Chonta","Artesanias",440995,5
2025-08-13,398,"Sombrero de Palma","Artesanias",381145,5
2025-08-13,399,"Aborrajado","Comida",39537,4
2025-08-13,400,"Panuelos","Artesanias",77506,4
2025-08-13,401,"Curao","Bebida",280866,1
2025-08-13,402,"Artesanias en cana","Artesanias",64373,4
2025-08-13,403,"Viche","Bebida",216388,4
2025-08-13,404,"Tomaseca","Bebida",280542,5
2025-08-13,405,"Sombrero de Palma","Artesanias",363856,3
2025-08-13,406,"Sombrero de Palma","Artesanias",326645,4
2025-08-13,407,"Artesanias en cana","Artesanias",66280,3
2025-08-13,408,"Limonada de Cana","Bebida",23234,3
2025-08-13,409,"Artesanias en cana","Artesanias",65581,4
2025-08-13,410,"Aborrajado","Comida",37344,4
2025-08-13,411,"Marranita","Comida",39666,4
2025-08-13,412,"Limonada de Cana","Bebida",22882,5
2025-08-13,413,"Artesanias en cana","Artesanias",43000,1
2025-08-13,414,"Panuelos","Artesanias",36336,4
2025-08-13,415,"Sombrero de Palma","Artesanias",370962,5
2025-08-13,416,"Viche","Bebida",208277,1
2025-08-13,417,"Panuelos","Artesanias",36246,4
2025-08-13,418,"Tomaseca","Bebida",207777,3
2025-08-13,419,"Panuelos","Artesanias",63052,3
2025-08-13,420,"Artesanias en cana","Artesanias",70838,1
2025-08-13,421,"Panuelos","Artesanias",75063,1
2025-08-13,422,"Marimba de Chonta","Artesanias",326000,2
2025-08-13,423,"Encocado de Camarones","Comida",32759,1
2025-08-13,424,"Curao","Bebida",311687,4
2025-08-13,425,"Panuelos","Artesanias",23280,3
2025-08-13,426,"Tomaseca","Bebida",304197,2
2025-08-13,427,"Sombrero de Palma","Artesanias",376716,2
2025-08-13,428,"Viche","Bebida",179743,5
2025-08-13,429,"Marimba de Chonta","Artesanias",342909,5
2025-08-13,430,"Aborrajado","Comida",36719,3
2025-08-13,431,"Sombrero de Palma","Artesanias",385949,1
2025-08-13,432,"Sombrero de Palma","Artesanias",336073,2
2025-08-13,433,"Viche","Bebida",154223,1
2025-08-13,434,"Curao","Bebida",196578,4
2025-08-13,435,"Artesanias en cana","Artesanias",41159,1
2025-08-13,436,"Marranita","Comida",42480,5
2025-08-13,437,"Artesanias en cana","Artesanias",71940,3
2025-08-13,438,"Tomaseca","Bebida",302657,2
2025-08-13,439,"Encocado de Camarones","Comida",33443,4
2025-08-13,440,"Tomaseca","Bebida",298428,2
2025-08-13,441,"Limonada de Cana","Bebida",20611,3
2025-08-13,442,"Panuelos","Artesanias",47218,5
2025-08-13,443,"Encocado de Camarones","Comida",30691,5
2025-08-13,444,"Tomaseca","Bebida",167294,1
2025-08-13,445,"Curao","Bebida",358861,5
2025-08-13,446,"Artesanias en cana","Artesanias",57345,1
2025-08-13,447,"Curao","Bebida",225780,2
2025-08-13,448,"Curao","Bebida",326356,5
2025-08-13,449,"Sombrero de Palma","Artesanias",358240,3
2025-08-13,450,"Viche","Bebida",218530,3
2025-08-13,451,"Aborrajado","Comida",38935,1
2025-08-13,452,"Limonada de Cana","Bebida",21901,3
2025-08-13,453,"Artesanias en cana","Artesanias",51216,1
2025-08-13,454,"Aborrajado","Comida",40827,3
2025-08-13,455,"Empanada de Piangua","Comida",19548,5
2025-08-13,456,"Viche","Bebida",180009,1
2025-08-13,457,"Artesanias en cana","Artesanias",39443,5
2025-08-13,458,"Artesanias en cana","Artesanias",57212,5
2025-08-13,459,"Limonada de Cana","Bebida",21350,4
2025-08-13,460,"Artesanias en cana","Artesanias",53526,4
2025-08-13,461,"Empanada de Piangua","Comida",20849,2
2025-08-13,462,"Limonada de Cana","Bebida",19895,1
2025-08-13,463,"Artesanias en cana","Artesanias",32634,5
2025-08-13,464,"Empanada de Piangua","Comida",19509,2
2025-08-13,465,"Tomaseca","Bebida",284095,1
2025-08-13,466,"Curao","Bebida",241466,3
2025-08-13,467,"Limonada de Cana","Bebida",20904,2
2025-08-13,468,"Limonada de Cana","Bebida",20947,2
2025-08-13,469,"Viche","Bebida",244136,5
2025-08-13,470,"Viche","Bebida",181072,4
2025-08-13,471,"Viche","Bebida",272357,1
2025-08-13,472,"Artesanias en cana","Artesanias",76861,5
2025-08-13,473,"Panuelos","Artesanias",67895,1
2025-08-13,474,"Tomaseca","Bebida",180951,1
2025-08-13,475,"Tomaseca","Bebida",242451,2
2025-08-13,476,"Viche","Bebida",220867,4
2025-08-13,477,"Marimba de Chonta","Artesanias",409933,1
2025-08-13,478,"Aborrajado","Comida",41671,3
2025-08-13,479,"Aborrajado","Comida",38982,1
2025-08-13,480,"Aborrajado","Comida",39576,5
2025-08-13,481,"Marimba de Chonta","Artesanias",462958,2
2025-08-13,482,"Tomaseca","Bebida",162248,5
2025-08-13,483,"Marranita","Comida",44630,2
2025-08-13,484,"Marranita","Comida",38567,3
2025-08-13,485,"Panuelos","Artesanias",23472,4
2025-08-13,486,"Aborrajado","Comida",36242,4
2025-08-13,487,"Aborrajado","Comida",37274,3
2025-08-13,488,"Marranita","Comida",37000,3
2025-08-13,489,"Empanada de Piangua","Comida",16655,3
2025-08-13,490,"Encocado de Camarones","Comida",25164,4
2025-08-13,491,"Encocado de Camarones","Comida",22995,3
2025-08-13,492,"Viche","Bebida",211001,3
2025-08-13,493,"Encocado de Camarones","Comida",24574,1
2025-08-13,494,"Artesanias en cana","Artesanias",46463,1
2025-08-13,495,"Encocado de Camarones","Comida",30101,2
2025-08-13,496,"Empanada de Piangua","Comida",20505,5
2025-08-13,497,"Tomaseca","Bebida",182225,2
2025-08-13,498,"Limonada de Cana","Bebida",19888,1
2025-08-13,499,"Empanada de Piangua","Comida",16882,1
2025-08-13,500,"Curao","Bebida",291752,1
2025-08-13,501,"Artesanias en cana","Artesanias",22807,2
2025-08-13,502,"Artesanias en cana","Artesanias",69435,1
2025-08-13,503,"Curao","Bebida",342679,4
2025-08-13,504,"Encocado de Camarones","Comida",35140,5
2025-08-13,505,"Panuelos","Artesanias",31078,2
